Name                                                                           Stmts   Miss   Cover   Missing
backend\knowledge_algorithms\ka_113_complexity_router.py                          42     42   0.00%   1-62
backend\knowledge_algorithms\ka_114_federated_outbox.py                           26     26   0.00%   5-52
backend\knowledge_algorithms\ka_115_federated_inbox.py                            32     32   0.00%   5-54
backend\knowledge_algorithms\ka_116_entropy_detection.py                          36     36   0.00%   1-54
backend\knowledge_algorithms\ka_master_controller.py                              81     41  49.38%   42-44, 50-61, 65-85, 89-95, 105, 116-118, 130-131
backend\knowledge_algorithms\l9\__init__.py                                        9      9   0.00%   15-34
backend\knowledge_algorithms\l9\l9_ka_001_trace_analyzer.py                       28     28   0.00%   11-72
backend\knowledge_algorithms\l9\l9_ka_002_belief_drift.py                         44     44   0.00%   10-90
backend\knowledge_algorithms\l9\l9_ka_003_persona_auditor.py                      25     25   0.00%   10-62
backend\knowledge_algorithms\l9\l9_ka_004_meta_evaluator.py                       30     30   0.00%   11-80
backend\knowledge_algorithms\l9\l9_ka_005_recursion_trigger.py                    27     27   0.00%   10-69
backend\knowledge_algorithms\l9\l9_ka_006_confidence_calc.py                      16     16   0.00%   12-67
backend\knowledge_algorithms\l9\l9_ka_007_loop_controller.py                      28     28   0.00%   11-74
backend\knowledge_algorithms\l10\__init__.py                                      20     20   0.00%   5-45
backend\llm_gateway\__init__.py                                                    4      0 100.00%
backend\llm_gateway\api.py                                                       279    200  28.32%   21-25, 41-79, 95-124, 147-190, 204-206, 223-246, 256-258, 269-273, 292-295, 307-309, 317-318, 327-363, 370-371, 378-417, 424-427, 434-483, 496-503, 512-546, 553-563, 572-608
backend\llm_gateway\gateway.py                                                   384    313  18.49%   73-78, 81-88, 91-92, 95-99, 115-117, 123-237, 241-307, 311-439, 442-443, 463-464, 477-485, 493-513, 527-563, 574-618, 631-647, 658-659, 676-708, 712, 716-761, 765-773, 781-788
backend\llm_gateway\schemas.py                                                    36     36   0.00%   1-46
backend\location_context_engine.py                                                 8      8   0.00%   1-18
backend\logging_config.py                                                         82     82   0.00%   7-169
backend\mcp_server\__init__.py                                                     0      0 100.00%
backend\mcp_server\registry.py                                                    36     18  50.00%   26-35, 39, 49, 52-64
backend\mcp_server\router.py                                                      33     24  27.27%   19, 23-71, 74, 81
backend\mcp_server\tools\__init__.py                                               2      2   0.00%   5-6
backend\mcp_server\tools\jira.py                                                  42     42   0.00%   6-104
backend\mcp_server\tools\salesforce.py                                            42     42   0.00%   6-105
backend\methods_api.py                                                           117    117   0.00%   9-268
backend\middleware\__init__.py                                                    86     47  45.35%   35-40, 43-48, 51-84, 92-104, 119-120, 130-146
backend\middleware\correlation_id.py                                              50     14  72.00%   36-45, 50-53, 70-72
backend\middleware\etag.py                                                        23     16  30.43%   20-45
backend\middleware\input_sanitizer.py                                            123    101  17.89%   32-37, 50-62, 75-89, 102-123, 136-151, 164-178, 185-187, 191, 196-238, 250-256, 268-284, 297-321
backend\middleware\request_limits.py                                              51     27  47.06%   52-55, 66-72, 136-171
backend\middleware\timeout.py                                                     66     41  37.88%   24, 59-60, 68-77, 82-88, 108-142, 161-167
backend\persona_api.py                                                            66     45  31.82%   27-31, 49-73, 92-116, 127-160, 171-197
backend\pillar_api.py                                                            147    108  26.53%   23-33, 39-49, 55-66, 72-83, 89-114, 120-130, 136-149, 155-186, 192-205, 211-227, 233-246, 250-251
backend\quad_persona\__init__.py                                                   0      0 100.00%
backend\quad_persona\quad_engine.py                                              106     94  11.32%   20-42, 55-84, 101-133, 158-256, 273-292, 297
backend\regulatory_api.py                                                        166    138  16.87%   18-54, 64-113, 123-156, 166-190, 200-242, 252-287, 297-339, 349-385
backend\reports\__init__.py                                                        0      0 100.00%
backend\reports\compliance.py                                                     74     45  39.19%   35, 42-66, 71, 78-80, 88-91, 97-142
backend\repositories\__init__.py                                                   1      1   0.00%   1
backend\repositories\node_repository.py                                           46     46   0.00%   1-78
backend\rest_api.py                                                              146    146   0.00%   9-254
backend\retention_service.py                                                     121     88  27.27%   69-72, 76-77, 87, 108-117, 121, 135-138, 150-190, 194-229, 241-271, 275, 286-294
backend\routes\analytics_routes.py                                                22      9  59.09%   13-19, 30-32, 43-44
backend\routes\gdpr_routes.py                                                     84     59  29.76%   33-100, 114-148, 160-178, 190-209, 223-251
backend\routes\location_routes.py                                                164    140  14.63%   16-21, 30-85, 93-125, 133-165, 173-215, 223-257, 264-275, 280-334
backend\routes\multimodal_routes.py                                               63     43  31.75%   19-30, 35-50, 55-66, 71-83
backend\routes\privacy_routes.py                                                  43     28  34.88%   18-56, 65-90
backend\routes\retention_routes.py                                                75     50  33.33%   29-42, 61-90, 114-158, 177-189, 198-207
backend\routes\storage_routes.py                                                 163    140  14.11%   20-31, 41-63, 73-111, 119-143, 152-176, 185-209, 218-263, 272-323, 334-345, 355-366
backend\schemas\__init__.py                                                       80     28  65.00%   36-40, 67-71, 76-77, 210-215, 234-256
backend\schemas\request_schemas.py                                                27      3  88.89%   19-21
backend\schemas\simulation_schemas.py                                             66     66   0.00%   8-242
backend\search_service.py                                                         47     38  19.15%   35-95, 109-144, 152-184, 196-202
backend\security\__init__.py                                                      18      9  50.00%   29-32, 46-49, 63-66
backend\security\active_defense.py                                                47     31  34.04%   25-28, 31-35, 43-101
backend\security\ai_guardrail.py                                                  35     26  25.71%   30-49, 58-67, 74-85
backend\security\api_security.py                                                 150    123  18.00%   37-40, 65-74, 107-160, 171-182, 186-192, 196-202, 206-207, 226, 246-277, 290-310, 322-324, 330-332, 348-396, 411-431
backend\security\audit_logger.py                                                 221    176  20.36%   73-76, 86-88, 93-95, 122-200, 216, 240, 263, 288-296, 320, 351-415, 427-488, 502-511, 525-562
backend\security\compliance_manager.py                                           168    142  15.48%   42-61, 65-72, 76-79, 83-100, 104-116, 120-131, 135-146, 150-161, 165-176, 180-191, 202-225, 234-240, 264-297, 312-371
backend\security\context_aware.py                                                 40     40   0.00%   1-102
backend\security\data_classification.py                                          132     74  43.94%   32-38, 43-49, 54, 59, 133-134, 147-172, 185-221, 233-250, 258, 270-297, 301-314, 318-319, 323-324, 333, 356-388, 392-393, 407-409
backend\security\dpapi_store.py                                                   38     27  28.95%   7-8, 19, 27-39, 46-58
backend\security\encryption_manager.py                                           166     94  43.37%   92-94, 117-121, 129, 138-140, 146, 153-158, 166-181, 191-222, 226-232, 246-259, 272-299, 312-316, 329-333, 342-347, 366-376, 385-386, 404, 408-410, 414-416, 426-428
